AAAA;NOM_USUEL;TMM;TXAB;TXMIN;RR;NBJTX25;RRAB;TMM_ma5;ville
1943;STRASBOURG-ENTZHEIM;;36.8;-4.7;548.6;51.0;22.8;;strasbourg
1944;STRASBOURG-ENTZHEIM;;35.9;-2.5;576.0;50.0;32.0;;strasbourg
1945;STRASBOURG-ENTZHEIM;;35.6;-6.0;314.2;46.0;49.8;;strasbourg
1946;STRASBOURG-ENTZHEIM;;35.2;-8.0;528.0;38.0;32.5;;strasbourg
1947;STRASBOURG-ENTZHEIM;;37.4;-8.0;421.20000000000005;88.0;22.6;;strasbourg
1948;STRASBOURG-ENTZHEIM;;32.0;-6.2;682.9;34.0;46.1;;strasbourg
1949;STRASBOURG-ENTZHEIM;10.5;36.1;-2.3;392.6;72.0;19.0;;strasbourg
1950;STRASBOURG-ENTZHEIM;10.1;35.2;-4.8;664.6;57.0;27.9;;strasbourg
1951;STRASBOURG-ENTZHEIM;10.0;32.6;-2.6;642.0;40.0;26.1;;strasbourg
1952;STRASBOURG-ENTZHEIM;10.1;37.4;-4.8;662.6;59.0;26.2;;strasbourg
1953;STRASBOURG-ENTZHEIM;10.0;33.2;-3.8;542.6;47.0;53.3;10.1;strasbourg
1954;STRASBOURG-ENTZHEIM;9.4;33.5;-9.0;635.3;35.0;26.6;9.9;strasbourg
1955;STRASBOURG-ENTZHEIM;9.2;32.6;-2.2;562.1;43.0;36.2;9.7;strasbourg
1956;STRASBOURG-ENTZHEIM;8.4;30.2;-14.4;696.3;27.0;44.2;9.4;strasbourg
1957;STRASBOURG-ENTZHEIM;10.1;36.8;-4.0;490.5;37.0;15.6;9.4;strasbourg
1958;STRASBOURG-ENTZHEIM;10.0;32.6;-1.7;720.7;44.0;36.0;9.4;strasbourg
1959;STRASBOURG-ENTZHEIM;10.5;35.4;-2.0;507.2;69.0;29.1;9.6;strasbourg
1960;STRASBOURG-ENTZHEIM;10.0;30.4;-7.7;696.2;22.0;27.2;9.8;strasbourg
1961;STRASBOURG-ENTZHEIM;10.6;31.8;-6.4;520.0;42.0;25.5;10.2;strasbourg
1962;STRASBOURG-ENTZHEIM;6.8;34.4;-10.3;425.8;45.0;19.1;9.6;strasbourg
1963;STRASBOURG-ENTZHEIM;12.9;32.1;-9.0;493.0;37.0;22.6;10.2;strasbourg
1964;STRASBOURG-ENTZHEIM;7.6;36.0;-5.4;441.0;61.0;19.7;9.6;strasbourg
1965;STRASBOURG-ENTZHEIM;2.7;31.0;-1.6;669.8;24.0;23.3;8.1;strasbourg
1966;STRASBOURG-ENTZHEIM;7.1;33.0;-10.4;663.5;40.0;26.0;7.4;strasbourg
1967;STRASBOURG-ENTZHEIM;13.9;32.4;-6.0;589.6;51.0;25.5;8.8;strasbourg
1968;STRASBOURG-ENTZHEIM;10.5;33.2;-5.3;809.1;28.0;36.7;8.4;strasbourg
1969;STRASBOURG-ENTZHEIM;10.1;33.8;-7.0;599.7;51.0;27.2;8.9;strasbourg
1970;STRASBOURG-ENTZHEIM;7.3;33.6;-4.8;585.7;48.0;34.7;9.8;strasbourg
1971;STRASBOURG-ENTZHEIM;7.9;33.0;-7.8;397.3;54.0;28.6;9.9;strasbourg
1972;STRASBOURG-ENTZHEIM;9.8;32.2;-6.0;541.3;30.0;30.7;9.1;strasbourg
1973;STRASBOURG-ENTZHEIM;5.4;32.8;-6.4;491.09999999999997;58.0;26.7;8.1;strasbourg
1974;STRASBOURG-ENTZHEIM;18.6;37.0;0.5;574.4;43.0;24.4;9.8;strasbourg
1975;STRASBOURG-ENTZHEIM;4.9;33.2;-1.8;590.5;45.0;55.7;9.3;strasbourg
1976;STRASBOURG-ENTZHEIM;4.6;35.0;-7.5;471.9;71.0;26.3;8.7;strasbourg
1977;STRASBOURG-ENTZHEIM;6.5;31.7;-2.8;684.5;34.0;21.6;8.0;strasbourg
1978;STRASBOURG-ENTZHEIM;4.7;32.7;-5.1;678.7;32.0;62.9;7.9;strasbourg
1979;STRASBOURG-ENTZHEIM;4.7;31.9;-7.8;634.1;46.0;32.3;5.1;strasbourg
1980;STRASBOURG-ENTZHEIM;2.9;32.2;-4.4;578.9;33.0;48.4;4.7;strasbourg
1981;STRASBOURG-ENTZHEIM;10.1;31.7;-4.8;682.9;39.0;42.2;5.8;strasbourg
1982;STRASBOURG-ENTZHEIM;10.4;32.7;-8.3;765.1;61.0;37.8;6.6;strasbourg
1983;STRASBOURG-ENTZHEIM;10.6;35.3;-3.7;671.2;69.0;39.5;7.7;strasbourg
1984;STRASBOURG-ENTZHEIM;9.6;35.2;0.0;650.6;39.0;38.7;8.7;strasbourg
1985;STRASBOURG-ENTZHEIM;9.2;35.1;-11.2;574.6;50.0;30.4;10.0;strasbourg
1986;STRASBOURG-ENTZHEIM;9.5;35.9;-9.9;771.3;53.0;56.6;9.9;strasbourg
1987;STRASBOURG-ENTZHEIM;9.4;31.6;-11.9;811.1;41.0;35.2;9.7;strasbourg
1988;STRASBOURG-ENTZHEIM;10.8;33.7;-3.4;733.9;45.0;31.4;9.7;strasbourg
1989;STRASBOURG-ENTZHEIM;10.6;34.4;-3.5;598.3;70.0;33.4;9.9;strasbourg
1990;STRASBOURG-ENTZHEIM;10.9;35.6;-2.3;623.4;49.0;53.6;10.2;strasbourg
1991;STRASBOURG-ENTZHEIM;10.0;34.2;-7.4;519.4;63.0;39.6;10.3;strasbourg
1992;STRASBOURG-ENTZHEIM;10.9;35.4;-3.4;613.3;62.0;23.6;10.6;strasbourg
1993;STRASBOURG-ENTZHEIM;10.4;32.4;-5.4;524.8;52.0;22.2;10.6;strasbourg
1994;STRASBOURG-ENTZHEIM;11.7;34.8;-1.3;679.7;59.0;42.2;10.8;strasbourg
1995;STRASBOURG-ENTZHEIM;10.7;34.2;-3.9;800.6;56.0;33.2;10.7;strasbourg
1996;STRASBOURG-ENTZHEIM;9.3;32.8;-9.5;650.8;45.0;37.2;10.6;strasbourg
1997;STRASBOURG-ENTZHEIM;10.5;32.4;-9.8;578.4;63.0;27.2;10.5;strasbourg
1998;STRASBOURG-ENTZHEIM;10.7;36.3;-3.2;597.2;47.0;20.6;10.6;strasbourg
1999;STRASBOURG-ENTZHEIM;11.1;32.7;-2.1;767.5;56.0;27.4;10.5;strasbourg
2000;STRASBOURG-ENTZHEIM;11.7;33.1;-2.1;697.1999999999999;56.0;32.0;10.7;strasbourg
2001;STRASBOURG-ENTZHEIM;11.0;34.5;-4.7;694.2;57.0;25.0;11.0;strasbourg
2002;STRASBOURG-ENTZHEIM;11.4;36.2;-4.7;805.6;52.0;40.6;11.2;strasbourg
2003;STRASBOURG-ENTZHEIM;11.5;38.5;-6.0;477.0;104.0;34.8;11.3;strasbourg
2004;STRASBOURG-ENTZHEIM;10.9;33.2;-2.0;614.8;61.0;38.6;11.3;strasbourg
2005;STRASBOURG-ENTZHEIM;10.8;34.3;-3.3;536.4;64.0;22.6;11.1;strasbourg
2006;STRASBOURG-ENTZHEIM;11.2;36.4;-5.1;681.4;72.0;44.6;11.2;strasbourg
2007;STRASBOURG-ENTZHEIM;11.5;34.3;-4.8;725.0;64.0;30.2;11.2;strasbourg
2008;STRASBOURG-ENTZHEIM;11.0;32.6;-3.4;661.6;58.0;24.6;11.1;strasbourg
2009;STRASBOURG-ENTZHEIM;11.1;35.0;-10.3;649.9;64.0;27.8;11.1;strasbourg
2010;STRASBOURG-ENTZHEIM;10.0;36.1;-5.5;794.2;54.0;28.5;11.0;strasbourg
2011;STRASBOURG-ENTZHEIM;11.6;35.1;-2.1;527.9;78.0;34.5;11.0;strasbourg
2012;STRASBOURG-ENTZHEIM;11.2;34.3;-8.4;609.2;71.0;20.7;11.0;strasbourg
2013;STRASBOURG-ENTZHEIM;10.7;36.4;-1.3;680.0;70.0;25.4;10.9;strasbourg
2014;STRASBOURG-ENTZHEIM;12.4;37.0;-2.7;673.7;60.0;66.3;11.2;strasbourg
2015;STRASBOURG-ENTZHEIM;12.0;38.7;0.4;474.7;67.0;40.4;11.6;strasbourg
2016;STRASBOURG-ENTZHEIM;11.3;36.0;-3.8;730.3;75.0;36.1;11.5;strasbourg
2017;STRASBOURG-ENTZHEIM;11.6;35.3;-4.9;604.3;81.0;27.7;11.6;strasbourg
2018;STRASBOURG-ENTZHEIM;12.5;36.4;-3.5;612.0;107.0;52.4;12.0;strasbourg
2019;STRASBOURG-ENTZHEIM;12.1;38.9;-1.0;579.3;84.0;44.0;11.9;strasbourg
2020;STRASBOURG-ENTZHEIM;12.6;36.7;-0.6;507.6;95.0;32.1;12.0;strasbourg
2021;STRASBOURG-ENTZHEIM;10.9;34.3;-4.4;793.1;68.0;42.2;11.9;strasbourg
2022;STRASBOURG-ENTZHEIM;12.9;38.4;-5.5;586.7;107.0;30.0;12.2;strasbourg
2023;STRASBOURG-ENTZHEIM;13.0;36.5;-0.4;541.0;108.0;31.2;12.3;strasbourg
2024;STRASBOURG-ENTZHEIM;12.5;35.3;-2.3;796.6;83.0;34.7;12.4;strasbourg
2025;STRASBOURG-ENTZHEIM;12.0;36.9;-2.3;613.3;76.0;35.3;12.3;strasbourg
1920;BORDEAUX-MERIGNAC;;20.8;-5.2;14.1;0.0;6.5;;bordeaux
1921;BORDEAUX-MERIGNAC;;38.1;-0.8;444.9;135.0;26.6;;bordeaux
1922;BORDEAUX-MERIGNAC;;38.7;1.2;824.1;76.0;38.2;;bordeaux
1923;BORDEAUX-MERIGNAC;;;;776.6;0.0;49.0;;bordeaux
1924;BORDEAUX-MERIGNAC;;35.1;-0.2;844.2;57.0;41.0;;bordeaux
1925;BORDEAUX-MERIGNAC;;35.5;2.2;943.7;67.0;53.5;;bordeaux
1926;BORDEAUX-MERIGNAC;;35.0;-2.0;809.8;78.0;30.6;;bordeaux
1927;BORDEAUX-MERIGNAC;;33.7;-0.3;1010.0;42.0;39.3;;bordeaux
1928;BORDEAUX-MERIGNAC;;38.5;3.2;987.1;91.0;46.1;;bordeaux
1929;BORDEAUX-MERIGNAC;;35.7;-3.9;747.3;78.0;30.5;;bordeaux
1930;BORDEAUX-MERIGNAC;;36.1;1.2;1316.8;39.0;46.6;;bordeaux
1931;BORDEAUX-MERIGNAC;;34.6;-1.2;1090.9;40.0;40.2;;bordeaux
1932;BORDEAUX-MERIGNAC;;36.1;-2.9;1057.6;50.0;47.2;;bordeaux
1933;BORDEAUX-MERIGNAC;;36.8;-3.0;842.3;78.0;37.2;;bordeaux
1934;BORDEAUX-MERIGNAC;;37.2;-0.8;883.1;84.0;35.3;;bordeaux
1935;BORDEAUX-MERIGNAC;;34.8;-1.6;1050.6;64.0;31.3;;bordeaux
1936;BORDEAUX-MERIGNAC;;33.0;0.0;850.8;37.0;28.8;;bordeaux
1937;BORDEAUX-MERIGNAC;;35.6;0.2;1190.9;74.0;47.0;;bordeaux
1938;BORDEAUX-MERIGNAC;;37.5;-4.4;665.1;50.0;40.2;;bordeaux
1939;BORDEAUX-MERIGNAC;;32.6;2.0;878.0;44.0;26.0;;bordeaux
1940;BORDEAUX-MERIGNAC;;30.2;-4.0;477.5;27.0;27.5;;bordeaux
1945;BORDEAUX-MERIGNAC;17.7;36.6;-2.8;490.6;104.0;29.0;;bordeaux
1946;BORDEAUX-MERIGNAC;9.7;38.0;-2.8;707.9;49.0;33.4;;bordeaux
1947;BORDEAUX-MERIGNAC;14.5;38.6;-3.6;867.6;88.0;47.0;;bordeaux
1948;BORDEAUX-MERIGNAC;;34.2;-3.0;668.8000000000001;55.0;32.2;;bordeaux
1949;BORDEAUX-MERIGNAC;13.1;38.3;2.2;778.5;102.0;37.6;;bordeaux
1950;BORDEAUX-MERIGNAC;12.6;38.4;-0.4;861.1;75.0;25.9;;bordeaux
1951;BORDEAUX-MERIGNAC;12.1;33.3;2.2;1110.8999999999999;36.0;42.0;;bordeaux
1952;BORDEAUX-MERIGNAC;12.5;37.0;-1.5;1219.1;61.0;44.8;;bordeaux
1953;BORDEAUX-MERIGNAC;12.1;35.3;0.6;493.7;53.0;28.3;12.5;bordeaux
1954;BORDEAUX-MERIGNAC;11.9;33.1;-7.0;837.3;30.0;29.5;12.2;bordeaux
1955;BORDEAUX-MERIGNAC;12.6;33.0;-0.7;934.6;64.0;49.1;12.2;bordeaux
1956;BORDEAUX-MERIGNAC;10.9;33.2;-6.8;759.1;33.0;41.3;12.0;bordeaux
1957;BORDEAUX-MERIGNAC;12.1;33.6;-0.8;757.6;35.0;30.9;11.9;bordeaux
1958;BORDEAUX-MERIGNAC;12.3;31.8;1.6;1129.5;52.0;43.6;12.0;bordeaux
1959;BORDEAUX-MERIGNAC;13.1;34.6;0.0;1144.2;61.0;54.4;12.2;bordeaux
1960;BORDEAUX-MERIGNAC;12.3;32.9;-2.8;1288.1;36.0;38.4;12.1;bordeaux
1961;BORDEAUX-MERIGNAC;13.1;37.6;2.3;839.5;60.0;27.8;12.6;bordeaux
1962;BORDEAUX-MERIGNAC;11.6;35.3;-6.5;799.5;55.0;49.4;12.5;bordeaux
1963;BORDEAUX-MERIGNAC;11.2;33.2;-3.9;898.5;26.0;42.4;12.3;bordeaux
1964;BORDEAUX-MERIGNAC;11.9;36.0;-2.0;749.0;62.0;36.7;12.0;bordeaux
1965;BORDEAUX-MERIGNAC;11.8;33.0;1.0;1121.2;33.0;28.9;11.9;bordeaux
1966;BORDEAUX-MERIGNAC;12.7;34.2;-1.3;1134.2;43.0;48.1;11.8;bordeaux
1967;BORDEAUX-MERIGNAC;4.7;34.9;-3.5;742.7;57.0;32.5;10.5;bordeaux
1968;BORDEAUX-MERIGNAC;19.9;37.6;0.8;999.5;39.0;35.9;12.2;bordeaux
1969;BORDEAUX-MERIGNAC;;34.8;-1.4;1138.4;53.0;58.2;;bordeaux
1970;BORDEAUX-MERIGNAC;;33.5;-1.5;801.2;68.0;26.1;;bordeaux
1971;BORDEAUX-MERIGNAC;;34.1;0.7;928.9;48.0;29.3;;bordeaux
1972;BORDEAUX-MERIGNAC;;33.9;1.0;788.5;37.0;43.9;;bordeaux
1973;BORDEAUX-MERIGNAC;;34.9;-0.1;788.6;69.0;30.0;;bordeaux
1974;BORDEAUX-MERIGNAC;;35.3;1.0;922.1999999999999;57.0;60.5;;bordeaux
1975;BORDEAUX-MERIGNAC;16.7;38.3;0.5;780.3;74.0;33.1;;bordeaux
1976;BORDEAUX-MERIGNAC;;36.8;1.7;1018.1;87.0;50.0;;bordeaux
1977;BORDEAUX-MERIGNAC;;30.0;1.6;960.4;34.0;44.2;;bordeaux
1978;BORDEAUX-MERIGNAC;;33.3;0.1;892.3;56.0;36.6;;bordeaux
1979;BORDEAUX-MERIGNAC;;32.9;2.1;1185.0;60.0;39.5;;bordeaux
1980;BORDEAUX-MERIGNAC;;32.4;0.2;915.8;46.0;33.4;;bordeaux
1981;BORDEAUX-MERIGNAC;12.8;36.1;2.7;989.9;60.0;52.3;;bordeaux
1982;BORDEAUX-MERIGNAC;13.3;38.2;2.0;1165.6;69.0;60.0;;bordeaux
1983;BORDEAUX-MERIGNAC;12.9;36.2;0.1;866.5999999999999;81.0;39.3;;bordeaux
1984;BORDEAUX-MERIGNAC;12.3;35.0;1.8;1193.5;63.0;48.7;;bordeaux
1985;BORDEAUX-MERIGNAC;11.8;35.4;-7.1;825.3;73.0;42.6;12.6;bordeaux
1986;BORDEAUX-MERIGNAC;12.2;34.7;-1.2;954.4;73.0;44.4;12.5;bordeaux
1987;BORDEAUX-MERIGNAC;12.5;37.0;-6.5;788.3;61.0;35.0;12.3;bordeaux
1988;BORDEAUX-MERIGNAC;13.2;34.8;0.1;943.1;59.0;38.8;12.4;bordeaux
1989;BORDEAUX-MERIGNAC;14.1;38.2;0.1;667.9;104.0;36.8;12.8;bordeaux
1990;BORDEAUX-MERIGNAC;14.2;38.8;0.6;906.0;97.0;81.7;13.2;bordeaux
1991;BORDEAUX-MERIGNAC;12.9;36.2;-2.1;978.1;85.0;62.0;13.4;bordeaux
1992;BORDEAUX-MERIGNAC;13.0;34.9;-0.6;1230.6;65.0;87.6;13.5;bordeaux
1993;BORDEAUX-MERIGNAC;12.9;34.6;0.0;1089.1;64.0;52.4;13.4;bordeaux
1994;BORDEAUX-MERIGNAC;14.2;35.3;2.3;1156.0;73.0;56.8;13.4;bordeaux
1995;BORDEAUX-MERIGNAC;13.6;36.8;0.8;1048.0;89.0;59.6;13.3;bordeaux
1996;BORDEAUX-MERIGNAC;12.4;36.0;-0.2;1106.0;65.0;59.0;13.2;bordeaux
1997;BORDEAUX-MERIGNAC;14.6;35.2;-2.7;1106.3;92.0;41.2;13.5;bordeaux
1998;BORDEAUX-MERIGNAC;12.4;38.8;3.6;1011.4;77.0;42.0;13.4;bordeaux
1999;BORDEAUX-MERIGNAC;9.5;35.6;2.3;1099.8;88.0;79.0;12.5;bordeaux
2000;BORDEAUX-MERIGNAC;11.3;35.5;-0.6;1208.6;79.0;52.4;12.0;bordeaux
2001;BORDEAUX-MERIGNAC;11.9;36.4;-1.7;808.0;68.0;25.2;11.9;bordeaux
2002;BORDEAUX-MERIGNAC;14.8;35.8;4.0;722.4;64.0;36.8;12.0;bordeaux
2003;BORDEAUX-MERIGNAC;14.4;40.7;-0.4;735.4;102.0;51.0;12.4;bordeaux
2004;BORDEAUX-MERIGNAC;8.7;35.1;3.5;693.4;81.0;24.8;12.2;bordeaux
2005;BORDEAUX-MERIGNAC;13.6;36.8;-1.1;595.8000000000001;97.0;23.4;12.7;bordeaux
2006;BORDEAUX-MERIGNAC;14.1;37.7;-2.6;821.3000000000001;90.0;33.6;13.1;bordeaux
2007;BORDEAUX-MERIGNAC;13.5;36.4;-0.7;881.0;66.0;48.4;12.9;bordeaux
2008;BORDEAUX-MERIGNAC;13.2;34.4;0.5;1012.3;62.0;36.8;12.6;bordeaux
2009;BORDEAUX-MERIGNAC;13.8;36.2;-0.9;910.8;94.0;37.2;13.6;bordeaux
2010;BORDEAUX-MERIGNAC;12.8;36.7;-1.8;812.0;83.0;39.5;13.5;bordeaux
2011;BORDEAUX-MERIGNAC;14.6;39.2;-0.6;587.6;95.0;36.2;13.6;bordeaux
2012;BORDEAUX-MERIGNAC;13.5;39.1;-3.2;846.7;81.0;34.4;13.6;bordeaux
2013;BORDEAUX-MERIGNAC;13.2;35.8;2.4;1050.4;77.0;48.7;13.6;bordeaux
2014;BORDEAUX-MERIGNAC;14.5;35.3;4.1;1005.7;83.0;32.4;13.7;bordeaux
2015;BORDEAUX-MERIGNAC;14.1;38.3;1.5;593.9;81.0;29.9;14.0;bordeaux
2016;BORDEAUX-MERIGNAC;14.0;38.5;4.4;922.1999999999999;84.0;41.2;13.9;bordeaux
2017;BORDEAUX-MERIGNAC;13.9;37.1;0.5;761.3;85.0;51.4;13.9;bordeaux
2018;BORDEAUX-MERIGNAC;14.5;37.3;1.7;796.9;115.0;34.5;14.2;bordeaux
2019;BORDEAUX-MERIGNAC;14.5;41.2;4.1;997.2;90.0;44.0;14.2;bordeaux
2020;BORDEAUX-MERIGNAC;14.9;39.6;4.5;1158.6;96.0;71.0;14.4;bordeaux
2021;BORDEAUX-MERIGNAC;13.8;34.0;3.3;906.6;77.0;44.0;14.3;bordeaux
2022;BORDEAUX-MERIGNAC;15.5;40.5;1.8;639.0;126.0;27.0;14.6;bordeaux
2023;BORDEAUX-MERIGNAC;15.1;39.4;1.8;1186.4;119.0;35.3;14.8;bordeaux
2024;BORDEAUX-MERIGNAC;14.4;38.8;0.7;1016.8;76.0;58.6;14.7;bordeaux
2025;BORDEAUX-MERIGNAC;14.9;41.6;0.7;840.6;95.0;52.4;14.7;bordeaux
1888;LYON-BRON;;;;885.0;0.0;43.0;;lyon
1889;LYON-BRON;;;;858.8;0.0;35.0;;lyon
1890;LYON-BRON;;;;813.1;0.0;51.3;;lyon
1891;LYON-BRON;;;;959.7;0.0;77.8;;lyon
1920;LYON-BRON;;30.4;-6.8;275.4;9.0;34.5;;lyon
1921;LYON-BRON;;38.6;-1.2;426.3;97.0;52.0;;lyon
1922;LYON-BRON;;34.3;-2.2;974.9;56.0;35.0;;lyon
1923;LYON-BRON;;37.5;-0.3;925.0999999999999;71.0;66.6;;lyon
1924;LYON-BRON;;36.3;-1.6;819.2;57.0;47.4;;lyon
1925;LYON-BRON;;34.8;-4.3;692.6;57.0;61.0;;lyon
1926;LYON-BRON;;33.9;-4.4;817.3;66.0;43.7;;lyon
1927;LYON-BRON;;32.8;-5.1;948.8;63.0;73.9;;lyon
1928;LYON-BRON;;37.3;-0.9;821.8;71.0;39.6;;lyon
1929;LYON-BRON;;36.4;-13.4;775.6;76.0;43.8;;lyon
1930;LYON-BRON;;32.8;-2.0;1081.1;46.0;61.2;;lyon
1931;LYON-BRON;;35.5;-5.9;919.9;54.0;44.9;;lyon
1932;LYON-BRON;;34.9;-6.5;799.6999999999999;53.0;34.7;;lyon
1933;LYON-BRON;;34.8;-8.2;815.6;67.0;54.4;;lyon
1934;LYON-BRON;;35.3;-3.1;684.1;79.0;40.0;;lyon
1935;LYON-BRON;;35.9;-2.1;1135.4;73.0;97.0;;lyon
1936;LYON-BRON;;32.1;-0.8;838.6;54.0;53.5;;lyon
1937;LYON-BRON;;35.6;-3.0;898.1;72.0;39.6;;lyon
1938;LYON-BRON;;34.4;-8.2;775.4;42.0;43.3;;lyon
1939;LYON-BRON;;31.6;-10.4;854.5;43.0;45.4;;lyon
1940;LYON-BRON;;31.0;-10.2;914.0;51.0;76.7;;lyon
1941;LYON-BRON;;34.0;-9.0;846.2;51.0;55.5;;lyon
1942;LYON-BRON;;34.5;-8.9;691.9;88.0;63.0;;lyon
1943;LYON-BRON;;37.8;1.0;657.3;79.0;48.2;;lyon
1944;LYON-BRON;;37.0;-3.4;779.4;72.0;39.5;;lyon
1945;LYON-BRON;;38.0;-8.2;615.1;106.0;63.9;;lyon
1946;LYON-BRON;;38.2;-4.8;781.3;59.0;49.4;;lyon
1947;LYON-BRON;;39.7;-4.8;752.5;103.0;43.8;;lyon
1948;LYON-BRON;;33.5;-3.1;942.9;59.0;55.9;;lyon
1949;LYON-BRON;12.2;37.7;0.2;581.5;104.0;21.5;;lyon
1950;LYON-BRON;11.9;37.6;-2.7;824.9;87.0;80.6;;lyon
1951;LYON-BRON;11.4;32.7;-0.2;961.3;55.0;43.7;;lyon
1952;LYON-BRON;11.6;39.5;-4.4;716.3;79.0;33.1;;lyon
1953;LYON-BRON;11.4;33.2;-4.2;615.7;73.0;51.7;11.7;lyon
1954;LYON-BRON;11.0;34.2;-8.0;853.9;54.0;80.9;11.5;lyon
1955;LYON-BRON;11.4;33.1;-0.8;812.6;68.0;71.2;11.4;lyon
1956;LYON-BRON;9.8;32.2;-12.7;915.3000000000001;42.0;61.4;11.0;lyon
1957;LYON-BRON;11.2;35.5;-3.0;646.5;50.0;53.4;11.0;lyon
1958;LYON-BRON;11.5;35.8;-1.8;973.9;63.0;89.2;11.0;lyon
1959;LYON-BRON;12.2;33.8;-0.2;672.6;70.0;43.2;11.2;lyon
1960;LYON-BRON;11.4;32.6;-7.0;1231.2;46.0;62.9;11.2;lyon
1961;LYON-BRON;12.3;34.1;-3.4;730.4;60.0;43.9;11.7;lyon
1962;LYON-BRON;2.7;34.9;-8.7;659.3;60.0;69.7;10.0;lyon
1963;LYON-BRON;-2.2;32.0;-8.1;919.2;32.0;70.5;7.3;lyon
1964;LYON-BRON;2.5;37.6;-3.8;691.7;72.0;28.7;5.3;lyon
1965;LYON-BRON;6.5;33.9;-0.6;1021.7;45.0;51.4;4.4;lyon
1966;LYON-BRON;5.8;35.6;-9.2;744.8;51.0;45.4;3.1;lyon
1967;LYON-BRON;1.6;35.0;-7.3;778.9;59.0;44.7;2.8;lyon
1968;LYON-BRON;15.4;34.8;-3.1;949.2;33.0;63.9;6.4;lyon
1969;LYON-BRON;2.6;33.0;-3.5;732.9;49.0;29.2;6.4;lyon
1970;LYON-BRON;5.3;35.0;-4.2;972.9;58.0;69.8;6.1;lyon
1971;LYON-BRON;3.2;34.2;-10.7;697.5;66.0;37.7;5.6;lyon
1972;LYON-BRON;2.9;33.3;-2.8;818.1;41.0;45.1;5.9;lyon
1973;LYON-BRON;4.8;33.2;-4.3;679.3;73.0;46.2;3.8;lyon
1974;LYON-BRON;;37.1;1.0;799.4;62.0;44.3;;lyon
1975;LYON-BRON;;35.6;-2.9;941.5;61.0;42.1;;lyon
1976;LYON-BRON;2.9;35.8;-1.7;753.6;85.0;45.2;;lyon
1977;LYON-BRON;4.4;29.9;-1.3;1170.3999999999999;30.0;60.2;;lyon
1978;LYON-BRON;6.1;33.8;-2.5;681.0;45.0;51.4;;lyon
1979;LYON-BRON;2.6;35.8;-4.9;913.5;67.0;59.7;;lyon
1980;LYON-BRON;1.5;34.1;-5.4;862.0;48.0;57.0;3.5;lyon
1981;LYON-BRON;11.2;33.9;-1.5;915.5;47.0;71.2;5.2;lyon
1982;LYON-BRON;12.4;36.3;-0.4;901.9;84.0;73.7;6.8;lyon
1983;LYON-BRON;12.1;39.8;-1.2;893.6;86.0;41.4;8.0;lyon
1984;LYON-BRON;11.5;35.5;1.3;772.1;53.0;41.1;9.7;lyon
1985;LYON-BRON;10.9;34.3;-10.4;680.5;78.0;47.2;11.6;lyon
1986;LYON-BRON;11.0;35.4;-7.6;783.3;68.0;35.3;11.6;lyon
1987;LYON-BRON;11.0;34.2;-10.7;886.5;53.0;38.4;11.3;lyon
1988;LYON-BRON;12.2;33.8;-0.4;921.6;60.0;70.7;11.3;lyon
1989;LYON-BRON;12.5;36.2;-3.0;623.2;87.0;75.5;11.5;lyon
1990;LYON-BRON;12.3;35.7;-1.0;865.8000000000001;73.0;63.6;11.8;lyon
1991;LYON-BRON;13.6;35.2;-2.9;690.7;89.0;65.6;12.3;lyon
1992;LYON-BRON;13.0;35.5;-2.2;986.3000000000001;67.0;48.0;12.7;lyon
1993;LYON-BRON;11.4;34.0;-4.0;1099.0;55.0;79.2;12.6;lyon
1994;LYON-BRON;13.0;35.6;0.3;891.9;74.0;53.0;12.7;lyon
1995;LYON-BRON;12.4;36.2;-1.5;923.0;69.0;47.2;12.7;lyon
1996;LYON-BRON;12.0;32.0;-4.6;888.9;58.0;70.8;12.4;lyon
1997;LYON-BRON;12.3;34.6;-4.0;703.3;89.0;63.4;12.2;lyon
1998;LYON-BRON;14.1;37.7;-1.1;757.6;75.0;41.6;12.8;lyon
1999;LYON-BRON;13.1;34.5;-1.2;963.1999999999999;90.0;72.4;12.8;lyon
2000;LYON-BRON;13.2;35.8;-1.7;828.2;86.0;56.4;12.9;lyon
2001;LYON-BRON;13.4;35.6;-3.0;825.8000000000001;76.0;35.0;13.2;lyon
2002;LYON-BRON;13.5;34.2;-1.9;980.6;66.0;52.8;13.5;lyon
2003;LYON-BRON;14.7;40.5;-5.3;663.0;113.0;62.8;13.6;lyon
2004;LYON-BRON;12.5;35.6;0.1;751.4;79.0;44.8;13.5;lyon
2005;LYON-BRON;12.0;36.9;-2.1;649.6;85.0;55.0;13.2;lyon
2006;LYON-BRON;13.2;37.4;-2.8;729.6;92.0;47.4;13.2;lyon
2007;LYON-BRON;12.8;32.8;-3.0;842.0;77.0;68.2;13.0;lyon
2008;LYON-BRON;12.4;33.0;0.1;1003.4;66.0;46.0;12.6;lyon
2009;LYON-BRON;13.2;39.2;-3.7;725.1999999999999;90.0;64.8;12.7;lyon
2010;LYON-BRON;12.0;36.3;-3.2;801.4;78.0;104.1;12.7;lyon
2011;LYON-BRON;13.5;37.9;-0.8;742.1;95.0;36.8;12.8;lyon
2012;LYON-BRON;12.8;38.0;-4.4;914.5;84.0;70.3;12.8;lyon
2013;LYON-BRON;12.1;35.9;-2.1;968.1;77.0;52.5;12.7;lyon
2014;LYON-BRON;13.7;35.2;1.6;1019.9;75.0;79.1;12.8;lyon
